"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-01","0.27",,,"34","37","30"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-02","0.04",,,"34","36","32"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-03","0.02",,,"30","36","23"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-04","0.00",,,"24","27","20"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-05","0.00",,,"23","26","20"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-06","0.54",,,"27","31","22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-07","0.65",,,"35","39","30"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-08","0.22",,,"42","47","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-09","0.15",,,"48","55","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-10","0.11",,,"44","50","38"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-11","0.00",,,"41","49","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-12","0.16",,,"42","48","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-13","0.02",,,"46","54","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-14","0.64",,,"49","52","46"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-15","0.06",,,"48","50","45"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-16","0.00",,,"45","48","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-17","0.00",,,"42","48","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-18","0.19",,,"45","47","43"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-19","0.00",,,"47","52","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-20","0.00",,,"41","45","36"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-21","0.00",,,"39","44","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-22","0.05",,,"40","47","32"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-23","0.65",,,"44","47","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-24","0.01",,,"39","44","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-25","0.00",,,"38","42","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-26","0.00",,,"43","45","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-27","0.00",,,"45","48","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-28","0.49",,,"41","49","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-29","1.63",,,"51","53","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-30","0.17",,,"45","51","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-01-31","0.29",,,"40","43","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-01","0.01",,,"41","44","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-02","0.21",,,"42","46","38"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-03","0.06",,,"44","49","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-04","0.06",,,"42","46","37"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-05","0.00",,,"39","46","31"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-06","0.24",,,"44","49","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-07","0.00",,,"43","46","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-08","0.00",,,"40","46","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-09","0.00",,,"38","44","31"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-10","0.00",,,"40","48","31"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-11","0.00",,,"48","61","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-12","0.00",,,"48","62","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-13","0.05",,,"46","58","33"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-14","0.34",,,"45","49","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-15","0.20",,,"47","51","43"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-16","0.50",,,"46","51","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-17","0.19",,,"46","52","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-18","0.03",,,"48","52","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-19","0.00",,,"44","50","38"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-20","0.00",,,"43","50","35"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-21","0.00",,,"45","56","34"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-22","0.00",,,"52","61","43"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-23","0.03",,,"47","50","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-24","0.07",,,"47","53","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-25","0.05",,,"45","52","38"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-26","0.21",,,"47","53","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-27","0.17",,,"47","51","43"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-28","0.02",,,"46","50","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-02-29","0.00",,,"46","51","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-01","0.00",,,"45","50","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-02","0.00",,,"42","51","32"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-03","0.19",,,"42","45","38"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-04","0.11",,,"45","49","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-05","0.13",,,"46","52","40"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-06","0.00",,,"44","49","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-07","0.25",,,"50","55","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2004-03-08","0.00",,,"55","65","44"
