"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USC00456295","PALMER 3 ESE, WA US","2004-01-01",,,,,"0.06","0.0","4.0",,"32","24",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-02",,,,,"0.24","1.7","6.0",,"32","29",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-03",,,,,"0.12","0.0","6.0",,"33","29",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-04",,,,,"0.29","8.0","14.0",,"29","18",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-05",,,,,"0.00","7.0",,,"23","14",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-06",,,,,"0.00","4.0",,,"18","14",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-07",,,,,"0.72","26.0","26.0",,"23","14",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-08",,,,,"0.66","0.0","19.0",,"35","20",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-09",,,,,"0.25","0.0","11.0",,"46","33",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-10",,,,,"0.47","0.0","7.0",,"49","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-11",,,,,"0.01","0.0",,,"46","38",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-12",,,,,"0.00","0.0",,,"51","38",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-13",,,,,"0.14","0.0",,,"49","38",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-14",,,,,"0.08","0.0",,,"51","40",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-15",,,,,"0.75","0.0",,,"46","41",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-16",,,,,"0.88","0.0","0.0",,"48","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-17",,,,,"0.00","0.0","0.0",,"48","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-18",,,,,"0.22","0.0","0.0",,"50","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-19",,,,,"0.38","0.0","0.0",,"41","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-20",,,,,"0.00","0.0","0.0",,"48","33",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-21",,,,,"0.00","0.0","0.0",,"47","33",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-22",,,,,"0.00","0.0","0.0",,"47","33",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-23",,,,,"0.61","0.0","0.0",,"46","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-24",,,,,"1.57","0.0","0.0",,"43","38",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-25",,,,,"0.23","0.0","0.0",,"43","32",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-26",,,,,"0.53","0.0","0.0",,"39","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-27",,,,,"0.36","0.0","0.0",,"40","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-28",,,,,"0.40","0.0","0.0",,"46","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-29",,,,,"2.38","0.0","0.0",,"47","40",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-30",,,,,"1.79","0.0","0.0",,"55","38",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-01-31",,,,,"0.04","0.0","0.0",,"40","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-01",,,,,"0.35","0.0","0.0",,"40","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-02",,,,,"0.05","0.0","0.0",,"44","33",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-03",,,,,"0.03","0.0","0.0",,"41","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-04",,,,,"0.93","0.0","0.0",,"46","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-05",,,,,"0.15","0.0","0.0",,"46","31",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-06",,,,,"0.04","0.0","0.0",,"43","33",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-07",,,,,"0.69","0.0","0.0",,"43","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-08",,,,,"0.42","0.0","0.0",,"41","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-09",,,,,"0.01","0.0","0.0",,"43","32",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-10",,,,,"0.00","0.0","0.0",,"46","29",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-11",,,,,"0.00","0.0","0.0",,"49","30",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-12",,,,,"0.00","0.0","0.0",,"53","43",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-13",,,,,"0.00","0.0","0.0",,"53","41",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-14",,,,,"0.54","0.0","0.0",,"51","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-15",,,,,"0.05","0.0","0.0",,"45","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-16",,,,,"0.09","0.0","0.0",,"46","31",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-17",,,,,"0.47","0.0","0.0",,"47","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-18",,,,,"0.32","0.0","0.0",,"48","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-19",,,,,"0.45","0.0","0.0",,"48","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-20",,,,,"0.05","0.0","0.0",,"46","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-21",,,,,"0.00","0.0","0.0",,"50","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-22",,,,,"0.00","0.0","0.0",,"56","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-23",,,,,"0.00","0.0","0.0",,"56","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-24",,,,,"0.02","0.0","0.0",,"56","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-25",,,,,"0.00","0.0","0.0",,"52","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-26",,,,,"0.01","0.0","0.0",,"49","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-27",,,,,"0.47","0.0","0.0",,"54","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-28",,,,,"0.21","0.0","0.0",,"47","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-02-29",,,,,"0.24","0.0","0.0",,"46","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-01",,,,,"0.00","0.0","0.0",,"49","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-02",,,,,"0.00","0.0","0.0",,"51","31",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-03",,,,,"0.22","0.0","0.0",,"51","31",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-04",,,,,"0.93","0.0","0.0",,"42","31",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-05",,,,,"0.73","0.0","0.0",,"42","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-06",,,,,"0.32","0.0","0.0",,"47","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-07",,,,,"0.11","0.0","0.0",,"47","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-08",,,,,"0.01","0.0","0.0",,"57","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-09",,,,,"0.00","0.0","0.0",,"72","45",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-10",,,,,"0.35","0.0","0.0",,"53","38",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-11",,,,,"0.00","0.0","0.0",,"56","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-12",,,,,"0.00","0.0","0.0",,"60","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-13",,,,,"0.00","0.0","0.0",,"47","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-14",,,,,"0.02","0.0","0.0",,"60","40",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-15",,,,,"0.04","0.0","0.0",,"54","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-16",,,,,"0.00","0.0","0.0",,"46","41",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-17",,,,,"0.03","0.0","0.0",,"53","42",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-18",,,,,"0.07","0.0","0.0",,"50","40",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-19",,,,,"0.67","0.0","0.0",,"48","35",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-20",,,,,"0.02","0.0","0.0",,"48","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-21",,,,,"0.00","0.0","0.0",,"59","43",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-22",,,,,"0.00","0.0","0.0",,"72","43",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-23",,,,,"0.07","0.0","0.0",,"64","43",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-24",,,,,"0.39","0.0","0.0",,"55","41",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-25",,,,,"0.48","0.0","0.0",,"55","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-26",,,,,"0.53","0.0","0.0",,"52","37",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-27",,,,,"0.43","0.0","0.0",,"52","38",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-28",,,,,"0.07","0.0","0.0",,"50","39",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-29",,,,,"0.00","0.0","0.0",,"65","40",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-30",,,,,"0.16","0.0","0.0",,"72","45",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-03-31",,,,,"0.40","0.0","0.0",,"47","36",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-04-01",,,,,"0.01","0.0","0.0",,"48","32",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-04-02",,,,,"0.00","0.0","0.0",,"53","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-04-03",,,,,"0.00","0.0","0.0",,"73","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-04-04",,,,,"0.00","0.0","0.0",,"71","33",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-04-05",,,,,"0.00","0.0","0.0",,"73","34",,,,,,,,,,,,,,,,,,,,,
"USC00456295","PALMER 3 ESE, WA US","2004-04-06",,,,,"0.00","0.0","0.0",,"53","42",,,,,,,,,,,,,,,,,,,,,
